student_id,teacher_id,class_id,year_group,academic_year,date,assessment_type,subject,score
0,TCH0005,CLS0077,Y12,2024/2025,2025-04-12,*Current Grades,Construction,PPP
0,TCH0011,CLS0082,Y12,2024/2025,2025-03-31,*Current Grades,Hospitality,D*D*D*
0,TCH0012,CLS0086,Y12,2024/2025,2025-03-22,*Current Grades,English,B
0,TCH0003,CLS0088,Y12,2024/2025,2025-06-07,*Current Grades,Mathematics,D
0,TCH0004,CLS0092,Y12,2024/2025,2025-04-18,*Current Grades,Science,D
1,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
1,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,103.25092960926175
1,TCH0012,CLS0014,Y8,2024/2025,2025-01-10,*Current Grades,English,9D
1,TCH0003,CLS0016,Y8,2024/2025,2025-01-25,*Current Grades,Mathematics,8C
1,TCH0019,CLS0023,Y8,2024/2025,2025-05-15,*Current Grades,Science,9B
2,,,Y7,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
2,,,Y7,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
2,TCH0012,CLS0002,Y7,2024/2025,2025-02-02,*Current Grades,English,8A
2,TCH0003,CLS0004,Y7,2024/2025,2025-05-26,*Current Grades,Mathematics,9B
2,TCH0004,CLS0008,Y7,2024/2025,2025-01-25,*Current Grades,Science,8A
3,TCH0005,CLS0057,Y11,2024/2025,2025-05-22,*Current Grades,Construction,D1
3,TCH0006,CLS0061,Y11,2024/2025,2025-02-10,*Current Grades,Hospitality,D1
3,TCH0017,CLS0067,Y11,2024/2025,2025-01-04,*Current Grades,English,4
3,TCH0003,CLS0068,Y11,2024/2025,2025-01-18,*Current Grades,Mathematics,5
3,TCH0004,CLS0072,Y11,2024/2025,2025-01-25,*Current Grades,Science,6
4,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98
4,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
4,TCH0007,CLS0025,Y9,2024/2025,2025-04-13,*Current Grades,English,9A
4,TCH0003,CLS0028,Y9,2024/2025,2025-04-18,*Current Grades,Mathematics,9C
4,TCH0014,CLS0034,Y9,2024/2025,2025-03-05,*Current Grades,Science,8D
5,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,99
5,,,Y10,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
5,TCH0015,CLS0039,Y10,2024/2025,2025-04-04,*Current Grades,Construction,M
5,TCH0011,CLS0042,Y10,2024/2025,2025-02-28,*Current Grades,Hospitality,P
5,TCH0013,CLS0050,Y10,2024/2025,2025-05-24,*Current Grades,Mathematics,2
6,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97
6,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
6,TCH0012,CLS0014,Y8,2024/2025,2025-05-18,*Current Grades,English,9C
6,TCH0019,CLS0023,Y8,2024/2025,2025-06-16,*Current Grades,Science,9A
7,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,94
7,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,100
7,TCH0012,CLS0014,Y8,2024/2025,2025-02-10,*Current Grades,English,9A
7,TCH0013,CLS0018,Y8,2024/2025,2025-02-06,*Current Grades,Mathematics,9B
7,TCH0014,CLS0022,Y8,2024/2025,2025-03-24,*Current Grades,Science,7E
8,TCH0015,CLS0079,Y12,2024/2025,2025-04-26,*Current Grades,Construction,D*DD
8,TCH0016,CLS0083,Y12,2024/2025,2025-04-05,*Current Grades,Hospitality,DDD
8,TCH0017,CLS0087,Y12,2024/2025,2025-02-27,*Current Grades,English,D
