student_id,school_id,teacher_id,class_id,year_group,academic_year,date,assessment_type,subject,score
0,SCH00,,CLS00153,Y12,2024/2025,2025-05-25,* Current Grades (KS5),Construction,DDD
0,SCH00,,CLS00165,Y12,2024/2025,2025-02-25,* Current Grades (KS5),Hospitality,DDD
0,SCH00,TCH0027,CLS00173,Y12,2024/2025,2025-05-13,* Current Grades (KS5),English,A
0,SCH00,TCH0008,CLS00177,Y12,2024/2025,2025-05-23,* Current Grades (KS5),Mathematics,E
0,SCH00,TCH0024,CLS00188,Y12,2024/2025,2025-02-05,* Current Grades (KS5),Science,B
1,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,98.0
1,SCH00,,,Y8,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,98.1
1,SCH00,,CLS0030,Y8,2024/2025,2025-05-07,* Current Grades (KS3),English,7E
1,SCH00,,,Y8,2024/2025,2025-03-05,* Current Grades (KS3),Mathematics,9A
1,SCH00,TCH0019,CLS0043,Y8,2024/2025,2025-04-16,* Current Grades (KS3),Science,8B
2,SCH00,TCH0020,CLS00196,Y13,2024/2025,2025-04-14,* Current Grades (KS5),Construction,DDD
2,SCH00,TCH0006,CLS00201,Y13,2024/2025,2025-04-26,* Current Grades (KS5),Hospitality,D*D*D*
2,SCH00,TCH0007,CLS00209,Y13,2024/2025,2025-04-02,* Current Grades (KS5),English,B
2,SCH00,TCH0008,CLS00217,Y13,2024/2025,2025-05-25,* Current Grades (KS5),Mathematics,A
2,SCH00,TCH0034,CLS00230,Y13,2024/2025,2025-01-20,* Current Grades (KS5),Science,C
3,SCH00,,,Y12,2024/2025,2025-02-08,* Current Grades (KS5),Construction,DDD
3,SCH00,TCH0031,CLS00166,Y12,2024/2025,2025-03-14,* Current Grades (KS5),Hospitality,DDM
3,SCH00,TCH0007,CLS00169,Y12,2024/2025,2025-01-07,* Current Grades (KS5),English,D
3,SCH00,TCH0038,CLS00183,Y12,2024/2025,2025-01-26,* Current Grades (KS5),Mathematics,C
3,SCH00,TCH0019,CLS00187,Y12,2024/2025,2025-03-12,* Current Grades (KS5),Science,A
4,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,94.0
4,SCH00,,,Y9,2024/2025,2025-08-05,#AttendanceRR Half Term Snapshot,#AttendanceRR,88.0
4,SCH00,TCH0007,CLS0049,Y9,2024/2025,2025-03-26,* Current Grades (KS3),English,8A
4,SCH00,,CLS0056,Y9,2024/2025,2025-06-06,* Current Grades (KS3),Mathematics,7A
4,SCH00,,CLS0064,Y9,2024/2025,2025-02-20,* Current Grades (KS3),Science,7A
5,SCH00,,,Y10,2024/2025,2025-08-05,#AttendanceRR Cumulative YTD Snapshot,#AttendanceRR,97.0
