id,school_id,payscale,specialism,date_started_school
TCH0000,SCH00,,Teacher of Construction,2022-04-01
TCH0005,SCH00,,Teacher of Construction,2024-03-01
TCH0010,SCH00,,Teacher of Construction,2022-03-01
TCH0015,SCH00,U1,Teacher of Construction,2022-04-01
TCH0020,SCH00,,Teacher of Construction,2020-02-01
TCH0025,SCH00,U1,,2023-05-01
TCH0030,SCH00,U1,Teacher of Construction,2021-02-01
TCH0035,SCH00,,Teacher of Construction,2023-08-01
TCH0001,SCH00,M3,Teacher of Hospitality,2023-05-01
TCH0006,SCH00,,Teacher of Hospitality,2023-04-01
TCH0011,SCH00,M1,,2020-07-01
TCH0016,SCH00,U3,Teacher of Hospitality,2020-11-01
TCH0021,SCH00,,,2024-04-01
TCH0026,SCH00,M3,Teacher of Hospitality,2021-06-01
TCH0031,SCH00,M3,Teacher of Hospitality,2020-04-01
TCH0036,SCH00,U2,,2020-06-01
TCH0002,SCH00,U3,Teacher of English,2025-07-01
TCH0007,SCH00,,,2022-01-01
TCH0012,SCH00,,Teacher of English,2025-09-01
TCH0017,SCH00,U2,,2020-05-01
TCH0022,SCH00,,Teacher of English,2024-12-01
TCH0027,SCH00,U3,,2020-01-01
TCH0032,SCH00,,Teacher of English,2025-05-01
TCH0037,SCH00,M3,Teacher of English,2022-03-01
TCH0003,SCH00,M2,,2021-06-01
TCH0008,SCH00,,,2021-05-01
TCH0013,SCH00,M1,Teacher of Mathematics,2023-06-01
TCH0018,SCH00,,Teacher of Mathematics,2021-03-01
TCH0023,SCH00,,Teacher of Mathematics,2023-01-01
TCH0028,SCH00,M3,Teacher of Mathematics,2022-12-01
TCH0033,SCH00,,Teacher of Mathematics,2021-09-01
TCH0038,SCH00,M1,Teacher of Mathematics,2021-01-01
TCH0004,SCH00,,,2023-01-01
TCH0009,SCH00,,,2020-03-01
TCH0014,SCH00,,Teacher of Science,2025-12-01
TCH0019,SCH00,U1,Teacher of Science,2024-11-01
TCH0024,SCH00,,Teacher of Science,2022-12-01
TCH0029,SCH00,U2,Teacher of Science,2020-07-01
TCH0034,SCH00,U2,Teacher of Science,2024-06-01
TCH0039,SCH00,M2,,2023-08-01
TCH0100,SCH01,U2,Teacher of Construction,2022-04-01
TCH0105,SCH01,,,2024-03-01
TCH0110,SCH01,M1,,2023-04-01
TCH0115,SCH01,U2,Teacher of Construction,2020-01-01
TCH0120,SCH01,,,2022-10-01
TCH0125,SCH01,,Teacher of Construction,2021-12-01
TCH0130,SCH01,U1,,2023-12-01
TCH0135,SCH01,,,2025-10-01
TCH0101,SCH01,,Teacher of Hospitality,2021-08-01
TCH0106,SCH01,,,2022-11-01
TCH0111,SCH01,,Teacher of Hospitality,2024-12-01
TCH0116,SCH01,U3,Teacher of Hospitality,2023-03-01
TCH0121,SCH01,,Teacher of Hospitality,2024-12-01
TCH0126,SCH01,U2,Teacher of Hospitality,2021-02-01
TCH0131,SCH01,,,2021-09-01
TCH0136,SCH01,,,2020-09-01
TCH0102,SCH01,,Teacher of English,2022-07-01
TCH0107,SCH01,,,2021-06-01
TCH0112,SCH01,U3,Teacher of English,2024-04-01
TCH0117,SCH01,U1,Teacher of English,2024-08-01
TCH0122,SCH01,,Teacher of English,2025-06-01
TCH0127,SCH01,M1,Teacher of English,2020-08-01
TCH0132,SCH01,,,2022-12-01
TCH0137,SCH01,,Teacher of English,2025-11-01
TCH0103,SCH01,M1,Teacher of Mathematics,2022-08-01
TCH0108,SCH01,U3,,2022-07-01
TCH0113,SCH01,U2,Teacher of Mathematics,2025-11-01
TCH0118,SCH01,,Teacher of Mathematics,2020-10-01
TCH0123,SCH01,,Teacher of Mathematics,2021-03-01
TCH0128,SCH01,,Teacher of Mathematics,2020-10-01
TCH0133,SCH01,M1,Teacher of Mathematics,2024-10-01
TCH0138,SCH01,M1,,2025-07-01
TCH0104,SCH01,,Teacher of Science,2020-11-01
TCH0109,SCH01,,Teacher of Science,2024-07-01
TCH0114,SCH01,M2,Teacher of Science,2020-10-01
TCH0119,SCH01,U2,,2021-02-01
TCH0124,SCH01,U2,Teacher of Science,2025-07-01
TCH0129,SCH01,,,2024-05-01
TCH0134,SCH01,,,2022-10-01
TCH0139,SCH01,U2,,2024-04-01
TCH0200,SCH02,U1,,2022-03-01
TCH0205,SCH02,M2,Teacher of Construction,2024-11-01
TCH0210,SCH02,U3,Teacher of Construction,2021-02-01
TCH0215,SCH02,,,2024-08-01
TCH0220,SCH02,,Teacher of Construction,2022-03-01
TCH0225,SCH02,M2,Teacher of Construction,2025-01-01
TCH0230,SCH02,M3,Teacher of Construction,2025-09-01
TCH0235,SCH02,U3,Teacher of Construction,2024-03-01
TCH0201,SCH02,,,2022-03-01
TCH0206,SCH02,,,2021-08-01
TCH0211,SCH02,U1,Teacher of Hospitality,2023-05-01
TCH0216,SCH02,U3,Teacher of Hospitality,2020-06-01
TCH0221,SCH02,M3,Teacher of Hospitality,2024-01-01
TCH0226,SCH02,,,2021-07-01
TCH0231,SCH02,,,2025-04-01
TCH0236,SCH02,,,2025-10-01
TCH0202,SCH02,U2,,2020-01-01
TCH0207,SCH02,M1,,2023-10-01
TCH0212,SCH02,,Teacher of English,2024-09-01
TCH0217,SCH02,,Teacher of English,2022-10-01
TCH0222,SCH02,M1,,2024-10-01
TCH0227,SCH02,U1,Teacher of English,2022-05-01
TCH0232,SCH02,M1,,2025-11-01
TCH0237,SCH02,,,2023-11-01
TCH0203,SCH02,U3,Teacher of Mathematics,2023-01-01
TCH0208,SCH02,,Teacher of Mathematics,2023-04-01
